项目标题	项目价格	招标类型	已看人数	投标人数	剩余投标时间	当前状态
【其他软件开发】定制开发软件，采集号码软件	3000	招标	196	2		投标中
【插件开发】闲鱼采集及下单软件开发	40000	招标	265	1		选标中
【机械设备】声音采集器开发设计	5000	招标	114	2		选标中
【采集工具】开发一款闲鱼APP采集软件	5000	招标	220	1		选标中
【数据采集】VR作品采集	5000-10000	招标	1314	1		工作中
【采集工具】闲鱼信息采集软件开发	8000	招标	3171	1		工作中
【数据采集】网站采集整理数据	5000	招标	2045	2		工作中
【其他软件开发】Linkedin数据采集软件	3500	直接雇佣	9591	1		工作中
【程序开发】自动采集朋友圈好友的动态及名片程序开发	3000	招标	927	2		工作中
【程序开发】数据采集	320	直接雇佣	24	1		工作中
【脚本制作】闲鱼产品监控和采集系统程序开发	4000	直接雇佣	172	1		待验收
【采集工具】题库公开信息采集	1000-3000	招标	2432	6		待验收
【其他软件开发】网站信息采集	700	招标	3124	8		待验收
【程序开发】nodejs采集数据修复	100	招标	1131	2		待验收
做一个淘宝客优惠信息采集和传播系统	70000	直接雇佣	153	1		圆满完成
【APP开发】电商平台数据采集二期	69977	直接雇佣	105	0		圆满完成
【APP开发】信息采集工具软件开发四期	64900	直接雇佣	138	1		圆满完成
【APP开发】信息采集软件开发2期	54989	直接雇佣	83	1		圆满完成
【采集工具】信息采集工具软件开发一期	54000	直接雇佣	216	1		圆满完成
【APP开发】信息采集工具软件开发尾款	50000	直接雇佣	92	1		圆满完成
【采集工具】指纹采集系统开发第六期	50000	直接雇佣	186	1		圆满完成
【采集工具】指纹采集系统开发第五期	50000	直接雇佣	145	1		圆满完成
【采集工具】指纹采集系统开发第四期	50000	直接雇佣	153	1		圆满完成
【采集工具】指纹采集系统开发第三期	50000	直接雇佣	134	1		圆满完成
【采集工具】指纹采集系统开发第二期	50000	直接雇佣	134	1		圆满完成
【采集工具】指纹采集系统开发第一期	50000	直接雇佣	142	1		圆满完成
【采集工具】采集数据	50000	直接雇佣	248	1		圆满完成
数据采集开发	50000	直接雇佣	101	1		圆满完成
【APP开发】APP功能：数据采集设，生成数据库	50000	直接雇佣	139	1		圆满完成
【APP开发】APP功能：数据采集设，生成数据库	50000	直接雇佣	96	1		圆满完成
【程序开发】足球比赛数据采集分析系统	50000	直接雇佣	471	1		圆满完成
淘客返利网，自动采集淘宝联盟的商铺，支持微信推广	50000	直接雇佣	167	1		圆满完成
网站数据采集项目开发	50000	直接雇佣	77	1		圆满完成
【程序开发】两路视频的采集和wifi传输	50000	直接雇佣	147	1		圆满完成
【采集工具】系统信息采集工具	49999	直接雇佣	138	1		圆满完成
【采集工具】采集工具开发	49999	直接雇佣	166	1		圆满完成
【采集工具】采集工具软件开发	49999	直接雇佣	212	1		圆满完成
【采集工具】网站数据采集	49980	直接雇佣	330	1		圆满完成
【程序开发】自动采集软件	49600	直接雇佣	138	0		圆满完成
【APP开发】水文数据采集系统	49500	直接雇佣	72	1		圆满完成
【其他工具软件】视频采集系统开发	48000	直接雇佣	235	1		圆满完成
数据采集	47000	直接雇佣	238	1		圆满完成
视频采集卡驱动	46999	直接雇佣	19	1		圆满完成
【APP开发】信息采集软件开发3期	46000	直接雇佣	80	1		圆满完成
【其他管理软件】采集系统开发	46000	直接雇佣	345	1		圆满完成
【采集工具】电商平台数据采集一期	45000	直接雇佣	196	1		圆满完成
【其他管理软件】采集系统开发第二期	45000	直接雇佣	318	1		圆满完成
【数据库设计】电商平台数据采集	45000	直接雇佣	787	1		圆满完成
【程序开发】求数据采集应用程序	45000	直接雇佣	164	1		圆满完成
【程序开发】求数据采集应用程序	45000	直接雇佣	108	1		圆满完成
【程序修改】需要基于UCMap for Android开发的外业采集程序	45000	直接雇佣	274	1		圆满完成
【采集工具】信息采集工具软件开发三期	44900	直接雇佣	166	1		圆满完成
【采集工具】信息采集工具软件开发二期	43000	直接雇佣	142	1		圆满完成
数据采集开发最后一期	42000	直接雇佣	84	1		圆满完成
【服务器安全】大数据采集分析系统开发	40500	直接雇佣	477	1		圆满完成
【APP开发】采集系统软件开发	40000	直接雇佣	60	1		圆满完成
【APP开发】APP功能：数据采集设，生成数据库	40000	直接雇佣	115	1		圆满完成
【程序开发】求数据采集应用程序第二期	39000	直接雇佣	133	1		圆满完成
视频采集卡驱动2	38300	直接雇佣	12	1		圆满完成
【程序开发】求数据采集应用程序第二期	37000	直接雇佣	175	1		圆满完成
【APP开发】数据采集的APP开发一期	12300	招标	642	1		圆满完成
中职网网站采集仿制二开数据采集仿站	12000	直接雇佣	208	1		圆满完成
【其他软件开发】第一时间采集58房源自动拨号的软件开发	10000-20000	招标	1184	6		圆满完成
采集系统开发	11000	直接雇佣	46	1		圆满完成
【采集工具】设备数据采集客户端第一期	10500	招标	310	1		圆满完成
【采集工具】信息采集软件开发一期	10000	直接雇佣	127	1		圆满完成
【APP开发】需要一套简单的贷款APP，主要就是采集进件信息	5000-10000	招标	912	13		圆满完成
