项目标题,总价,描述,工时,投标人数
扫描打印出纸张上图案和电脑里图片相似度对比,3000,"就是我们是做订制的，客户会发来各种各样的图案，系统里会有每个订单和图片数据，然后为了节省材料，我们会把这些图案放在一起打印，问题是打印出来的图案都在一起，我们没法知道哪个图案对应哪个订单了，所以需要开发一个软件，可以类似扫码枪哪样的扫描设备来扫描图案，识别出系统里所对应的图案的订单（我们这个图案就是用系统里的图片打印出来，只是所有的都打印在一张纸上，只能用图案识别，不能在图案上留其它信息）
打开以下网址链接了解清楚需求，否则不予以合作。",6,10
PDA(Android) 仓库扫码出入库管理系统,7500,"1. 需有开发 PDA 仓库扫码系统经验
2. 需提供开发过的 PDA 仓库扫码系统画面
3. 后台资料库为 MSSQL",15,20
渗透测试,1200,"需求:
主要任务是对网络进行渗透测试。 您将需要编写一份渗透测试结果报告。 分配网络将包含几台主机，并且在这些机器上，将有您需要识别的标志（文本字符串）。 每个标志都以字符 FLAG 开头。

 正文包括你对每台主机的总体分析（开放端口、相关服务、操作系统）和网络的网络图（4 分），描述如何找到和获得每个标志（30 分，每个 2 分） 标志），以及如何保护网络免受攻击的建议（4 分）。

远程办公",2,2
文商旅项目帆软报表工程师,45000,"1.熟练使用finereport帆软开发报表，驾驶舱大屏；
2.熟练掌握Oracle、SqlServer数据库，并且熟练掌握SQL语句的编写和 SQL 优化；
3.熟悉使用JavaScript脚本；
4.利用finereport帆软开发小功能，大屏展示；
5.具有较强的项目管理能力，主导过多个软件项目的需求分析，功能分析，软件开发，测试及上线工作；
6.较好的沟通能力以及文档编写能力；
7、熟悉kettle等etl工具；
8、3年以上项目实施开发经验；
9、可远程，如能驻场更优，坐标佛山顺德。",90,15
全栈工程师,500,项目部署运维，想把skywalking和spring boot admin（两个都是服务监控的开源项目，可以在github或是其他地方搜到）部署在一台服务器的不同端口，然后通过nginx代理，比如http://localhost/skywalking就是访问skywalking的前端页面，http://localhost/springbootadmin就是访问http://localhost/springbootadmin的前端页面，我自己尝试过，但是不成功，希望寻找工程师帮忙解决这个问题，这个问题有可能很简单也有可能会涉及修改源码。,1,
php运维,2500,php运维，站点曾被黑客入侵，现在还是有些小毛病，功能修改，完善，也顺便在防护下。应该是不会再被入侵了，但是还是帮忙看下吧联系微信akuizi2,5,23
海外社交项目  Google Play,500,"Google play  内置支付接通 
项目已经上线需要找一位熟悉并且有谷歌支付经验的工程师协助解决一些问题。
支付接口调用与确认",1,6
JAVA,45000,"工作内容：
工作分为两部分：
1，需要二开三个模块（与原系统没有逻辑关联，流程相对独立）
2，多套部署和长期维护

要求：
1，由于是需要长期合作，所以需要性格好，沟通愉快，做事情有责任心的。合作起来轻松
2，源码涉及到很多微服务，具体情况下方有部署文档，可以查阅判断有没有把握。

费用计划：
费用预计分为3部分
1，二开环节，具体根据工作量商讨价格
2，二开完成后，需要进行多套部署，每部署一套进入维护阶段，单个维护中的项目，每个月1000维护费。
3，每个月的基础保底费用",90,
讯飞SDK接入Unity,2000,"我们是一个制作Unity游戏的工作室，现在需要在游戏内接入讯飞离线命令词的SDK，或者通过其他方式实现Unity游戏在安卓运行时的中文语音识别。
但是我们对Android Studio的开发并不熟悉，接入的时候遇到了很多问题，需要帮我们把SDK接入Unity。他们的SDK并不自带Unity方案，但是网上有将他们的SDK导出成Unity的Lib再使用的方案。
这个是讯飞SDK的文档 ： https://www.xfyun.cn/doc/asr/commandWord/Android-SDK.html
这个是讯飞技术提供的解决方案：
https://blog.csdn.net/u01172",2,9
PC网站开发（spring boot+react）,12500,"一、需要开发网站的功能服务接口与管理后台，如果能全栈开发最好
二、技术栈是spring boot,mysql,redis，前端页面用的react+antd+umi，如果您有支持seo的低成本方案优先考虑
三、音乐授权类网站
四、贵方是团队或个人均可，但一定要保证有效投入时间，能高效完成
五、项目开发周期是6-7月，预计7月底上线
六、如您有缘符合上述条件，请带上案例投标，我会第一时间反馈",25,49
React开发工程师,30000,熟悉React和Antd前端工程师，有B端开发经验，整体经验三年以上，能够快速响应，对图表类、地图类场景熟悉者优先，欢迎勾搭,30,30
Java开发,10000,"Springboot、Mybatis-plus,熟悉java-web开发，熟悉redis使用，对B端项目有经验，有数据计算相关经验优先",10,71
物联网相关开发,54000,"## 基本软硬件要求
1. Mac OS 电脑（因为公司开发环境基于 Mac OS）；
2. 网络稳定且快速（非常重要，因为运行测试需要实时获取公司测试环境数据）；
3. 平时文字工作交流使用 dingtalk；
4. 线上会议视频沟通，使用 Google Meet、dingtalk会议
## 技术要求（必须熟练掌握）
1. 相关开发语言(java、objective-c)
2. Git 操作，Github PR；
3. 单元测试（如 jest, @testing-library/react 等）；
4. 其它前端开发常用的工具和库；
其它信息：
Java web开发，合",90,16
标准电流互感器软件开发,27000,"智慧实验室  数据融合与共享服务规范
标准电流互感器软件开发
需要 JAVA ，软硬件交互专业IT人员。
非实时数据数据交互，接口规范基于HTTP协议，采用类Restful API方式提供服务。
实时数据交互，接口规范基于AMQP协议。",30,45
地质类年代学计算程序研发,15000,"1.	需求描述：编写基于Matlab 的GUI 数据处理程序，进行地质年代学计算。
2.	具体要求：要求根据公式，通过迭代得到最优解，制图。
                          GUI类似下图展示（此处无法黏贴附件，具体可面谈），有数据输入部分，参数选项部分，输出图表部分等。
                          相关公式和原理简单易懂，有可以借鉴的年代学计算软件。
3.	合作方式：前2-3天需要驻场，方便沟通需求，之后可通过远程+见面的方式进行。",30,6
全职远程开发全栈JS开发人员 React,15000,"职位描述

您知道围绕Node.JS后端和ReactJS前端的方式吗？
那ReactNative应用程序呢？
您是否曾使用过MongoDB，MySQL /MsSQL和Redis或类似的产品？
对诸如Ant Design之类的React 模板有任何经验吗？
您是否有使用Google Cloud，AWS或Azure基础架构的任何背景知识？
•如果您对这些问题的回答是“有点”或更好，
•并具有至少2年的代理开发经验和/或IT（或类似）学位，

这是100％的全职远程开发工作，因此可以在家工作。但是需要主要工作时间在白天工作。
您需要具有自己的家庭办公室设置和硬件，但是如果需要的",30,14
php工程师,2000,"一、需求描述：

类别：短视频类app二次开发
进度：已经有产品源文件，成品，需要技术开发。 
功能：影视类产品，个人中心以及管理员后台系统，需要技术人员将这些模块进行实现。 
技术：PHP语言开发。

二、人才要求：

3年以上PHP开发经验，有短视频产品开发经验者优先。

三、参考产品：

抖音

四、合作方式：

开发方式：远程开发。",4,20
Python数据报表开发,1500,"一、需求描述
类别：数据整理
技能：Python Pandas
功能：拆分字典，拆分单元格，批量运算，数据统计
描述：我们是一家跨境电商公司，网站积累的销售数据需要定期进行梳理和总结，本次项目主要是对接网站API获得数据，然后对数据进行必要的梳理和分类汇总。

二、人才要求
Python开发3年以上经验，逻辑思维清晰，有数据库编程经验者优先

三、合作方式：
远程+定期见面
如果合作顺利，可以建立长期合作机制，我们存在大量的数据整理需求。",3,35
Java开发工程师,15000,"一、需求描述
        实现管控宝系统集成drools规则引擎，通过drools可视化界面使用户可以自行编辑规则并执行，另需将drools可视化界面进行汉译；
二、人才要求
        熟练Java web开发，研究并使用过drools规则引擎，熟练掌握JavaScript；
三、合作方式
         工作方式：远程开发
         开发周期：20－30天",30,21
NIUSHOP多商户V4 增加图书商品发布二次开发项目,500,"技术要求：掌握JavaScript. HTML、 CSS.熟练运用PHP、 SQL。熟练掌握Vue.js框架、Element UI组件的用法。熟练掌握uni-app框架

需求说明：
项目语言：thinkphp6+layui+uniapp 可以自行了解下niushop。
具体需求：
多商户商城有个手机商家管理端，要在里面新增发布图书类型 

 摄像头扫图书条码识别isbn码，用isbn码 从第三方接口获取图书信息和封面，返回的图书名称填充到商品名称 图团填充到商品图片  其他信息添加到详情   如果不好加类型 直接在实物商品里加/改这个功能 

是要卖二手书 一本一本手动录入",1,8
Android工程师,15000,"后端和API已有，原来客户端用UniAPP开发的，限制太多、问题太多，准备转Android和ios原生开发。
参考：华为应用市场搜下app《王者星球》
功能包括：接入各家广告SDK及API、文章管理模块、视频管理模块、商品夺宝抽奖模块、社交圈模块、任务模块、个人中心模块",15,
基于SharePoint的 IOS/安卓双平台App开发,27500,"需要开发一个App，

该APP与Microsoft Sharepoint进行交互，为客户提供更轻松、更好的用户体验，客户可以直接用App获取Microsoft Sharepoint的内容（无需在想要访问门户时打开浏览器输入密码再登录），在有新内容发布的时候对客户进行推送。目标包括：
1) 用户登录和记住密码的选项
2) 主应用页面：显示从 SPO 中获取的内容：
可以分为图片、视频和文档。视频可以直接播放，可以打开、查看和下载文档
与 SPO 相比，应用中的内容将以更方便用户的方式进行不同的布置。
具体细节有待讨论。
3) 推送通知功能：新内容发布时，我们可以将通知推送至安装",25,2
LOGO设计,500,"商标为“江南烟宇”，行业为“电子烟”。需要设计图形LOGO+文字LOGO，具体要求如下：
1. 图形LOGO要简洁大方，要和“江南烟宇”四个字有关联性
2. 文字要单独设计，要有特色，符合行业和商标特点。",1,1
小程序前端开发,12000,"一，需求描述
1，针对目前公司的一款测评类型的小程序做前端开发
2，公司现在配有一名前端，可以做一些需求沟通和项目背景的了解，另外有后端配合联调
3，需要在6月30日前完成前端工作
二，人才要求
1，精通原生js的开发，有基于原型和对象模式的开发经验
2，至少了解一种前端MVC，MVVM框架，并在实际开发中有运用，精通vue。
3，熟悉主流框架、类库的设计和实现，熟练跨浏览器、跨终端的开发。
4，有开发过小程序的经验",10,22
andriond开发,2000,"需求开发Android 功能逻辑页面不需要开发
根据页开发功能逻辑
单元测试

要求：
精通Android开发
熟练掌握Android常用的API，理解Android的体系结构，掌握Android中界面绘制、后台运行 、数据存储等的原理
  熟练掌握Android下网络通信机制，有实际Socket编程经验
  熟练使用XML、JSON等常用数据解析，熟悉API、SDK等相关技术
 熟悉Java基础
工作时间：最好是工作日 周六周日全天有时间

合作方式: 
最好是能来公司这样沟通的清楚
远程也可以",4,11
环境气体采样仪器控制中心网站，包含相应的APP,18000,"一，需求描述
类别：控制中心网站开发，包含相应的APP
进度：已有产品文档，需要技术开发
功能：用户管理，用户可以查看/控制名下的所有仪器，仪器运行状态监控及运行日志。
技术：建议使用 ASP.NET Core 5.0 开发

二，人才要求
全栈开发，熟悉手机APP开发，有ASP.NET Core开发网站经验者优先

三，合作方式
远程开发，不定期需要对接需求。",30,10
数据库搭建,2800,"数据库开发，主要实现2个功能，
1，对接电子合同api，实现请求合同到签署的一系列动作，
2，对接在线仲裁委委贷接口，实现立案并上传证据图片
3，node.js
4、需要个人开发者，能随时处理问题的，半天才回复消息的人勿扰",4,8
前端开发工程师,500,"需求描述：vue element table的一个折叠功能。 
进度：已经有产品文档、原型图、UI，需要技术开发。
人才要求：3年vue开发经验，熟悉elementUI。",1,
Shopify APP 开发,2400,"一、需求描述：
项目背景：

Shopify 是一家提供电商建站系统（CMS）的服务商
https://www.shopify.com/about

为了实现更多的功能需要通过 Shopify 插件/Apps 来实现
https://apps.shopify.com/

项目描述：
Shopify 插件/App 的开发。用户安装后实现网站顶部显示自定义的文字条。用户界面包括欢迎页，内容设置页，样式设置页，其它设置页，以及一个列表页

功能描述：
1.自定义文字条内容
2.自定义文字条样式 (字体，背景等)
3.高级设置 (国家过滤,页面过滤,延迟等)
4.列出已",3,3
安卓工程师,2000,"一、界面更换：
界面移植：由原来的10.1寸橫屏（1280*800）改成8寸竖屏（800*1280）。

分机界面移植：由原来的7寸竖屏（800*1280）改成8寸竖屏（800*1280）。
a)界面移植：

二、人脸识别算法移植：由原来的虹软活体检测改为澎思的活体检测。更换SDK
四、服务器人脸算法兼容更改：能同时兼容虹软软和澎思图片下发，要求能自动识别到终端是3288平台的10.1寸主机、3288的7寸分机或者是澎思的3399的平台做上标记及显示相对应的IP地址。

工作时间预计4-5天",4,15
电商后台开发,21000,"真实需求、需求方本人。

一、需求描述：

类别：电商app后端开发
功能：电商app抢购、app后端功能开发、网络抓包、抢购。

二、人才要求：

网络抓包、抢购程序开发经验。
有京东app抢购经验者佳。

四、合作方式：

开发方式：远程开发。
开发周期：20-30天",30,23
北京 驻场前端开发,3000,"一、需求
内部管理系统的页面开发

二、使用的技术栈
微服务架构， 前后端分离开发模式， 前端主要为VUE全家桶技术。

三、人才要求
熟悉VUE全家桶。

四、合作方式
首次合作大部分时间需要驻场， 后续可以远程+定期见面的方式。",5,7
环境气体采样仪器控制中心网站，包含相应的APP,30000,"一，需求描述
 类别：控制中心网站开发，包含相应的APP
 进度：已有产品文档，需要技术开发
 功能：用户管理，用户可以查看/控制名下的所有仪器，仪器运行状态监控及运行日志。
 技术：建议使用 ASP.NET Core 5.0 开发

二，人才要求
 全栈开发，熟悉手机APP开发，有ASP.NET Core开发网站经验者优先

三，合作方式
 远程开发，不定期需要对接需求。",30,
access+excel 小型OA系统,5000,"1，	需求描述
我们是做法律服务的，需要用excel+access做一个小型OA系统。基本功能：设置角色、权限访问、保存文件和读取。附加功能（可选）：邮件、模板文件生成、导入导出。如果您可以提供更好的建议选项
2，	人才要求
有过开发经验。VBA、Access、Mysql、SQLSERVER
3，	参考作品
麻烦提供您做过的案例。
4，	合作方式
远程",5,19
微信小程序商城自动下单软件,20000,"贵高速最汇购商城(微信小程序)

1:平台限制2分钟要有操作的行为 否则会被自动T下线 我们需要做成90秒钟就自动浏览一下产品或者其他动作

2:自动打码(滑动的验证码)

3:北京时间13点:00自动快速协议或者接口代码去执行下单购买指定的产品 每天他们开放的时间就是下午13:00-13:15 其他时间段没法进行购物



平台有点垃圾 到点之后前端会出现这种不适 需要重复打码 只能通过接口代码执行或者其他协议或者特殊办法去下单 否则很难下单成功,



只与有做过类似案例的有经验的技术合作 只在平台担保交易! 大牛来一个",10,9
